Red curve_x,Red curve_y
263.5011291504,614.
263.7459049225,619.
263.9906806946,595.
264.2354564667,667.
264.4802322388,646.
264.7250080109,648.
264.969783783,692.
265.2145595551,663.
265.4593353271,618.
265.7041110992,645.
265.9488868713,624.
266.1936626434,632.
266.4384384155,632.
266.6832141876,609.
266.9279899597,663.
267.1727657318,657.
267.4175415039,615.
267.6623172760,592.
267.9070930481,597.
268.1518688202,620.
268.3966445923,589.
268.6414203644,633.
268.8861961365,716.
269.1309719086,651.
269.3757476807,625.
269.6205234528,628.
269.8652992249,635.
270.1100749969,639.
270.3548507690,625.
270.5996265411,615.
270.8444023132,585.
271.0891780853,612.
271.3339538574,675.
271.5787296295,678.
271.8235054016,608.
272.0682811737,609.
272.3130569458,590.
272.5578327179,660.
272.80260849,652.
273.0473842621,627.
273.2921600342,638.
273.5369358063,677.
273.7817115784,671.
274.0264873505,644.
274.2712631226,640.
274.5160388947,620.
274.7608146667,642.
275.0055904388,681.
275.2503662109,643.
275.4951419830,650.
275.7399177551,643.
275.9846935272,727.
276.2294692993,928.
276.4742450714,1035.
276.7190208435,987.
276.9637966156,930.
277.2085723877,823.
277.4533481598,770.
277.6981239319,755.
277.942899704,730.
278.1876754761,695.
278.4324512482,734.
278.6772270203,769.
278.9220027924,812.
279.1667785645,883.
279.4115543365,899.
279.6563301086,982.
279.9011058807,869.
280.1458816528,766.
280.3906574249,696.
280.6354331970,721.
280.8802089691,724.
281.1249847412,762.
281.3697605133,720.
281.6145362854,701.
281.8593120575,667.
282.1040878296,658.
282.3488636017,664.
282.5936393738,655.
282.8384151459,635.
283.083190918,675.
283.3279666901,655.
283.5727424622,579.
283.8175182343,631.
284.0622940063,684.
284.3070697784,655.
284.5518455505,667.
284.7966213226,687.
285.0413970947,661.
285.2861728668,641.
285.5309486389,680.
285.7757244110,665.
286.0205001831,657.
286.2652759552,630.
286.5100517273,621.
286.7548274994,587.
286.9996032715,574.
287.2443790436,595.
287.4891548157,651.
287.7339305878,641.
287.9787063599,569.
288.223482132,561.
288.4682579041,576.
288.7130336761,652.
288.9578094482,645.
289.2025852203,644.
289.4473609924,827.
289.6921367645,1104.
289.9369125366,1445.
290.1816883087,1770.
290.4264640808,2008.
290.6712398529,1777.
290.916015625,1448.
291.1607913971,1189.
291.4055671692,1058.
291.6503429413,1021.
291.8951187134,1035.
292.1398944855,1055.
292.3846702576,1128.
292.6294460297,1283.
292.8742218018,1454.
293.1189975739,1451.
293.3637733459,1406.
293.6085491180,1211.
293.8533248901,1020.
294.0981006622,887.
294.3428764343,858.
294.5876522064,848.
294.8324279785,837.
295.0772037506,773.
295.3219795227,742.
295.5667552948,701.
295.8115310669,616.
296.056306839,648.
296.3010826111,662.
296.5458583832,594.
296.7906341553,577.
297.0354099274,574.
297.2801856995,657.
297.5249614716,646.
297.7697372437,618.
298.0145130157,579.
298.2592887878,626.
298.5040645599,657.
298.7488403320,653.
298.9936161041,635.
299.2383918762,615.
299.4831676483,595.
299.7279434204,598.
299.9727191925,582.
300.2174949646,603.
300.4622707367,585.
300.7070465088,607.
300.9518222809,624.
301.196598053,594.
301.4413738251,576.
301.6861495972,625.
301.9309253693,585.
302.1757011414,599.
302.4204769135,560.
302.6652526855,555.
302.9100284576,561.
303.1548042297,580.
303.3995800018,605.
303.6443557739,601.
303.8891315460,545.
304.1339073181,532.
304.3786830902,560.
304.6234588623,584.
304.8682346344,576.
305.1130104065,586.
305.3577861786,584.
305.6025619507,612.
305.8473377228,650.
306.0921134949,587.
306.336889267,573.
306.5816650391,606.
306.8264408112,595.
307.0712165833,613.
307.3159923553,579.
307.5607681274,557.
307.8055438995,581.
308.0503196716,611.
308.2950954437,655.
308.5398712158,656.
308.7846469879,622.
309.0294227600,622.
309.2741985321,628.
309.5189743042,602.
309.7637500763,593.
310.0085258484,595.
310.2533016205,555.
310.4980773926,602.
310.7428531647,619.
310.9876289368,634.
311.2324047089,684.
311.477180481,637.
311.7219562531,618.
311.9667320251,598.
312.2115077972,585.
312.4562835693,596.
312.7010593414,622.
312.9458351135,571.
313.1906108856,606.
313.4353866577,590.
313.6801624298,582.
313.9249382019,578.
314.169713974,639.
314.4144897461,615.
314.6592655182,648.
314.9040412903,575.
315.1488170624,569.
315.3935928345,576.
315.6383686066,579.
315.8831443787,559.
316.1279201508,543.
316.3726959229,607.
316.6174716949,571.
316.8622474670,566.
317.1070232391,609.
317.3517990112,563.
317.5965747833,559.
317.8413505554,579.
318.0861263275,583.
318.3309020996,565.
318.5756778717,573.
318.8204536438,526.
319.0652294159,551.
319.310005188,620.
319.5547809601,576.
319.7995567322,606.
320.0443325043,611.
320.2891082764,634.
320.5338840485,575.
320.7786598206,595.
321.0234355927,590.
321.2682113647,576.
